Series ID,Year,Period,Label,Value
LAUCN060650000000003,2017,M01,2017 Jan,5.9
LAUCN060650000000003,2017,M02,2017 Feb,5.7
LAUCN060650000000003,2017,M03,2017 Mar,5.4
LAUCN060650000000003,2017,M04,2017 Apr,4.9
LAUCN060650000000003,2017,M05,2017 May,4.8
LAUCN060650000000003,2017,M06,2017 Jun,5.4
LAUCN060650000000003,2017,M07,2017 Jul,5.8
LAUCN060650000000003,2017,M08,2017 Aug,5.8
LAUCN060650000000003,2017,M09,2017 Sep,5.2
LAUCN060650000000003,2017,M10,2017 Oct,4.9
LAUCN060650000000003,2017,M11,2017 Nov,4.7
LAUCN060650000000003,2017,M12,2017 Dec,4.4
LAUCN060650000000003,2018,M01,2018 Jan,4.7
LAUCN060650000000003,2018,M02,2018 Feb,4.6
LAUCN060650000000003,2018,M03,2018 Mar,4.4
LAUCN060650000000003,2018,M04,2018 Apr,4.0
LAUCN060650000000003,2018,M05,2018 May,3.7
LAUCN060650000000003,2018,M06,2018 Jun,4.7
LAUCN060650000000003,2018,M07,2018 Jul,4.8
LAUCN060650000000003,2018,M08,2018 Aug,4.9
LAUCN060650000000003,2018,M09,2018 Sep,4.3
LAUCN060650000000003,2018,M10,2018 Oct,4.3
LAUCN060650000000003,2018,M11,2018 Nov,4.1
LAUCN060650000000003,2018,M12,2018 Dec,4.1
LAUCN060650000000003,2019,M01,2019 Jan,4.8
LAUCN060650000000003,2019,M02,2019 Feb,4.5
LAUCN060650000000003,2019,M03,2019 Mar,4.6
LAUCN060650000000003,2019,M04,2019 Apr,3.8
LAUCN060650000000003,2019,M05,2019 May,3.6
LAUCN060650000000003,2019,M06,2019 Jun,4.4
LAUCN060650000000003,2019,M07,2019 Jul,4.8
LAUCN060650000000003,2019,M08,2019 Aug,4.7
LAUCN060650000000003,2019,M09,2019 Sep,3.8
LAUCN060650000000003,2019,M10,2019 Oct,3.9
LAUCN060650000000003,2019,M11,2019 Nov,3.8
LAUCN060650000000003,2019,M12,2019 Dec,3.7
